Year,Spring Thaw,Fall Frost
1895,0.263333333,-3.618333333
1896,0.587575758,-3.667575758
1897,0.749090909,-3.602272727
1898,1.122424242,-3.675151515
1899,1.333030303,-3.504393939
1900,1.232727273,-3.104545455
1901,1.267272727,-2.713636364
1902,2.715454545,-2.469090909
1903,2.781818182,-3.157272727
1904,3.255454545,-3.211818182
1905,3.781818182,-2.583636364
1906,3.779090909,-2.953636364
1907,3.454545455,-2.964545455
1908,3.631818182,-3.313636364
1909,3.48,-2.733636364
1910,3.61,-2.788181818
1911,4.01,-3.686363636
1912,4.289090909,-4.067272727
1913,3.494545455,-3.887272727
1914,3.285454545,-3.027272727
1915,3.527272727,-2.668181818
1916,3.158181818,-2.598181818
1917,2.757272727,-2.110909091
1918,3.275454545,-1.790909091
1919,3.472727273,-1.311818182
1920,3.408181818,-1.852727273
1921,3.257272727,-1.890909091
1922,2.977272727,-0.839090909
1923,2.540909091,-0.238181818
1924,2.409090909,-0.389090909
1925,2.598181818,-0.810909091
1926,2.247272727,0.081818182
1927,2.274545455,-0.076363636
1928,2.336363636,-0.136363636
1929,1.710909091,-0.111818182
1930,1.037272727,-0.428181818
1931,0.784545455,0.042727273
1932,0.453636364,0.041818182
1933,0.376363636,0.030909091
1934,-0.019090909,0.170909091
1935,0.154545455,0.630909091
1936,-0.595454545,1.061818182
1937,-0.924545455,-0.305454545
1938,-0.811818182,-0.532727273
1939,-0.318181818,-0.39
1940,-0.141818182,-0.698181818
1941,-0.225454545,-0.113636364
1942,0.368181818,0.115454545
1943,0.18,0.416363636
1944,0.029090909,0.022727273
1945,0.683636364,0.201818182
1946,0.578181818,-0.295454545
1947,0.907272727,-1.025454545
1948,1.173636364,-0.490909091
1949,1.307272727,-0.136363636
1950,0.946363636,-0.722727273
1951,1.230909091,-0.5
1952,1.257272727,-0.827272727
1953,0.563636364,-1.093636364
1954,0.741818182,-1.356363636
1955,1.193636364,-1.02
1956,0.685454545,-1.31
1957,0.517272727,-1.040909091
1958,1.090909091,-0.043636364
1959,0.98,-0.650909091
1960,0.637272727,-0.845454545
1961,1.376363636,-0.925454545
1962,1.188181818,-0.878181818
1963,1.686363636,-0.705454545
1964,1.984545455,-0.761818182
1965,2.045454545,-0.733636364
1966,2.232727273,-0.537272727
1967,2.278181818,-0.326363636
1968,2.544545455,0.151818182
1969,2.188181818,-1.184545455
1970,2.046363636,-0.804545455
1971,2.287272727,-1.029090909
1972,1.231818182,-0.824545455
1973,0.960909091,-0.739090909
1974,0.560909091,-0.752727273
1975,0.401818182,-0.881818182
1976,0.319090909,-0.781818182
1977,-0.248181818,-1.256363636
1978,0.110909091,-1.285454545
1979,-0.214545455,-1.829090909
1980,-0.787272727,-1.09
1981,-0.765454545,-0.57
1982,-1.595454545,-0.334545455
1983,-1.224545455,-0.073636364
1984,-1.021818182,-0.634545455
1985,-1.227272727,-0.26
1986,-2.019090909,-0.599090909
1987,-2.019090909,-0.500909091
1988,-2.262727273,-0.87
1989,-3.092727273,-0.041818182
1990,-3.453636364,-0.148181818
1991,-2.7,0.184545455
1992,-2.795454545,0.295454545
1993,-3.005454545,1.571818182
1994,-3.671818182,1.279090909
1995,-4.362727273,1.502727273
1996,-4.498181818,1.362727273
1997,-3.401818182,2.322727273
1998,-3.728181818,2.520909091
1999,-3.845454545,3.663636364
2000,-3.832727273,3.478181818
2001,-3.920909091,3.624545455
2002,-4.536363636,3.837272727
2003,-4.279090909,3.777272727
2004,-3.974545455,3.090909091
2005,-3.756363636,3.683636364
2006,-3.603636364,4.286363636
2007,-4.295454545,4.277272727
2008,-4.342727273,4.281818182
2009,-4.005454545,4.612727273
2010,-4.202727273,4.987272727
2011,-4.623636364,5.604545455
2012,-5.045454545,6.36
2013,-5.09,6.241818182
2014,-5.698181818,6.142727273
2015,-5.301818182,5.967272727
2016,-5.385,6.038333333
2017,-5.531818182,6.416666667
2018,-4.990454545,6.871363636
2019,-5.779090909,7.006969697
2020,-6.205,7.111666667
