Latitude,Longitude,Percent change in growing degree days
39.4839,-119.7711,101.948718
37.7494,-107.095,97.28985884
39.6261,-106.0353,64.6785813
39.1678,-120.1428,55.00492287
47.9753,-122.195,49.84231904
44.0569,-121.285,48.37897694
48.9672,-122.3292,44.48796299
40.8097,-124.1603,44.01013134
37.6131,-109.4847,40.64561404
46.6056,-111.9636,39.83261456
47.9558,-124.3539,36.46458583
36.9878,-121.9994,35.93887682
41.525,-111.1494,35.71601146
34.1483,-118.1447,35.42431186
44.5733,-116.6753,33.77305889
44.4683,-73.15,33.26033179
42.9508,-123.3572,32.83425481
41.4903,-71.5431,32.35303096
42.7342,-122.5164,31.51001136
43.6497,-70.3003,29.16231833
45.09,-71.2906,28.40047778
42.08,-80.1825,27.94822675
40.8289,-115.7886,27.9469518
36.78,-119.7194,27.65691095
40.5764,-105.0858,27.58609587
43.0297,-78.1683,27.18718531
41.8253,-111.3206,24.75752004
45.1219,-95.9269,24.63855809
44.6342,-123.19,24.57946176
41.7681,-74.155,23.75985636
39.0303,-76.9314,23.60403161
45.4486,-122.1547,23.32954286
39.2872,-112.6519,23.06207931
40.5353,-112.3217,23.053276
47.1358,-122.2558,22.53958769
41.7219,-71.4325,22.22625645
46.3747,-117.0156,21.9282447
46.7053,-92.5239,20.3435505
36.4486,-103.1539,20.22834352
47.4289,-120.31,19.75241463
41.0461,-83.6622,19.32428434
39.7994,-74.7806,19.09573913
42.2122,-71.1136,18.43229095
43.45,-76.5369,18.31722108
38.535,-121.7761,18.27029892
40.9017,-117.8081,18.15375177
44.6411,-90.1333,18.02548854
42.7431,-73.8092,17.96275839
36.835,-108.0006,17.90151617
47.2436,-93.4975,17.89298508
39.3792,-74.4242,17.89104329
45.7858,-88.0842,17.88116123
34.7675,-114.6189,17.87870052
48.3511,-116.8353,17.74189807
47.6217,-117.5281,17.57040901
41.1519,-104.8061,17.37364527
31.8111,-106.3758,16.82265368
36.9033,-76.1922,16.44606394
35.3297,-82.4492,16.37714131
43.1433,-70.95,16.20284546
41.5944,-109.0528,16.06324043
44.8831,-93.2289,15.85049333
41.2433,-76.9217,15.64937104
37.2825,-109.5575,15.48140659
48.6033,-112.3753,15.42037929
36.4261,-94.4481,15.05002049
45.5247,-123.1025,15.03382611
39.7739,-75.5414,15.00315317
43.4133,-124.2436,14.84617579
42.6469,-95.1933,14.79929299
47.2192,-111.7106,14.60732984
48.9144,-103.2978,14.57801965
39.9961,-86.3542,14.48691783
45.6622,-111.0464,14.40898548
39.7458,-122.1997,14.16907306
40.6508,-75.4492,14.07475734
43.7639,-94.1661,13.81174349
38.4858,-107.8792,13.61709109
41.2667,-82.6167,12.99837084
43.1111,-76.1039,12.8727315
42.2131,-122.7147,12.67095827
42.9486,-78.7369,12.63928753
45.4875,-111.6336,12.5716793
45.2089,-112.6389,12.56242103
41.3119,-105.6747,12.39714438
28.1522,-82.7539,12.15824353
46.8217,-108.3725,12.10609932
34.1892,-101.7022,12.05653753
40.9519,-72.2978,11.96117007
39.4019,-77.9844,11.91335625
40.08,-111.6047,11.75265141
42.2342,-113.8981,11.56109076
44.8428,-117.8086,11.46322383
48.3042,-114.2636,11.40943447
43.0722,-88.0294,11.15062676
45.8236,-91.8761,11.04644063
