"Figure 2. Change in Snow-to-Precipitation Ratio in the Contiguous 48 States, 1949-2020",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2021",,,,
Web update: April 2021,,,,
Units: degrees; degrees; percent change,,,,
,,,,
State,Latitude,Longitude,"Percent change, 1949-2015","Significant (1 = sig, 0 = non-sig)"
CA  ,39.1678,-120.1428,-1.42,0
CA  ,41.7031,-122.6414,-14.7964,1
CO  ,38.8575,-102.3328,8.3354,0
CO  ,37.9492,-107.8736,1.7537,0
CO  ,38.0383,-103.6947,0.8449,0
CO  ,37.6911,-106.3078,0,0
CO  ,37.7494,-107.095,0,0
CO  ,39.9919,-105.2667,-0.852,0
CO  ,39.6261,-106.0353,-1.3845,1
CO  ,40.5764,-105.0858,-5.9995,1
CO  ,38.0636,-103.2153,-16.898,1
CO  ,38.0517,-102.1317,-18.5168,1
CO  ,38.0936,-102.6306,-21.9319,1
IA  ,41.7947,-90.2639,3.5074,0
IA  ,41.0656,-92.7867,-0.9301,0
IA  ,41.0211,-91.9553,-2.556,0
IA  ,43.0603,-92.6717,-7.2349,0
IA  ,41.2825,-91.7078,-8.7046,0
IA  ,42.0356,-92.5806,-9.8832,0
IA  ,40.7244,-95.0192,-11.1328,1
IA  ,43.0453,-92.3122,-11.1541,0
IA  ,42.8825,-91.8303,-14.1006,1
IA  ,41.8814,-92.2764,-17.3027,1
ID  ,42.1231,-111.3133,-3.479,0
ID  ,46.7281,-116.9558,-4.7357,0
ID  ,48.3511,-116.8353,-13.6178,1
ID  ,42.2342,-113.8981,-15.6129,1
IL  ,40.5839,-90.9686,9.6418,0
IL  ,42.0981,-89.9842,-9.0028,0
IL  ,39.7347,-90.1978,-12.7516,1
IL  ,40.0839,-88.2403,-13.135,1
IL  ,41.7803,-88.3092,-18.3677,1
IN  ,38.5528,-86.7944,-0.2485,0
IN  ,40.58,-85.6586,-2.1584,0
IN  ,39.7594,-87.2269,-5.964,0
KS  ,37.1942,-99.7633,-3.5784,0
KS  ,39.7772,-98.7783,-12.3753,1
KS  ,37.2733,-99.3289,-16.7702,0
KS  ,37.0308,-100.9069,-17.0116,0
KS  ,39.1972,-96.5814,-17.2317,1
KS  ,38.8586,-99.3358,-20.9663,1
KS  ,39.7408,-99.8361,-21.1438,1
KS  ,38.3772,-97.6097,-23.2951,1
KS  ,37.9411,-101.2492,-23.856,1
